| min | final | max | max abs |
| -11 | 0 | 45 | 45 |
| -9 | 48 | 135 | 135 |
| -34 | 60 | 102 | 102 |
| -28 | 42 | 43 | 43 |
| -43 | -36 | 43 | 43 |
| -3 | 104 | 112 | 112 |
| -71 | -48 | 16 | 71 |
| -68 | -52 | 57 | 68 |
| -14 | 64 | 81 | 81 |
| -40 | 32 | 48 | 48 |
| -5 | 68 | 69 | 69 |
| -49 | 8 | 14 | 49 |
| -153 | -120 | 12 | 153 |
| -35 | -32 | 38 | 38 |
| -36 | -2 | 33 | 36 |
| -28 | 58 | 71 | 71 |
| -9 | 58 | 66 | 66 |
| -30 | -22 | 68 | 68 |
| -40 | 18 | 28 | 40 |
| -38 | -6 | 38 | 38 |
| -41 | -22 | 15 | 41 |
| -2 | 162 | 180 | 180 |
| 1 | 64 | 125 | 125 |
| -15 | -4 | 99 | 99 |
| -12 | 0 | 54 | 54 |
| -62 | 46 | 51 | 62 |
| -72 | -42 | 8 | 72 |
| 0 | 74 | 94 | 94 |
| -58 | -48 | 43 | 58 |
| -182 | -180 | 2 | 182 |
| -29 | -16 | 37 | 37 |
| -103 | -50 | 25 | 103 |
| -16 | 26 | 61 | 61 |
| -67 | 22 | 23 | 67 |
| -1 | 72 | 121 | 121 |
| -52 | -40 | 40 | 52 |
| -48 | 56 | 62 | 62 |
| -81 | -44 | 11 | 81 |
| -133 | -126 | 17 | 133 |
| -21 | 112 | 116 | 116 |
| -113 | -8 | 15 | 113 |
| -35 | 10 | 48 | 48 |
| -22 | 114 | 121 | 121 |
| -90 | -82 | 31 | 90 |
| -97 | -76 | 32 | 97 |
| -29 | 70 | 105 | 105 |
| -57 | -48 | 20 | 57 |
| -53 | -48 | 43 | 53 |
| -66 | 38 | 43 | 66 |
| -32 | -10 | 28 | 32 |
| -3 | 126 | 145 | 145 |
| -11 | 42 | 55 | 55 |
| -169 | -162 | 36 | 169 |
| -78 | -64 | 27 | 78 |
| -42 | -16 | 55 | 55 |
| -93 | -76 | 27 | 93 |
| -12 | 8 | 48 | 48 |
| -32 | -8 | 45 | 45 |
| -44 | -18 | 50 | 50 |
| -63 | -36 | 18 | 63 |
| -79 | -28 | 30 | 79 |
| -104 | -96 | 42 | 104 |
| -99 | -70 | 9 | 99 |
| -36 | -32 | 30 | 36 |
| -85 | -84 | -1 | 85 |
| -2 | 90 | 91 | 91 |
| -49 | -32 | 16 | 49 |
| -21 | 14 | 47 | 47 |
| -20 | 32 | 64 | 64 |
| -54 | -50 | 31 | 54 |
| -63 | 30 | 53 | 63 |
| -38 | -32 | 29 | 38 |
| -49 | 26 | 41 | 49 |
| -50 | 46 | 60 | 60 |
| -72 | -64 | 27 | 72 |
| 0 | 36 | 82 | 82 |
| -67 | -64 | 33 | 67 |
| -117 | -112 | 18 | 117 |
| -19 | 52 | 83 | 83 |
| -34 | 10 | 49 | 49 |
| -99 | -56 | 14 | 99 |
| -42 | -6 | 32 | 42 |
| -30 | -10 | 38 | 38 |
| -34 | 12 | 48 | 48 |
| -63 | -26 | 18 | 63 |
| -67 | 30 | 48 | 67 |
| -28 | -16 | 43 | 43 |
| -65 | 0 | 11 | 65 |
| -105 | -90 | 10 | 105 |
| -50 | 6 | 49 | 50 |
| -74 | -40 | 15 | 74 |
| -27 | 24 | 52 | 52 |
| -11 | 20 | 51 | 51 |
| -96 | -96 | 8 | 96 |
| -43 | -38 | 50 | 50 |
| -33 | -10 | 32 | 33 |
| -78 | -62 | 3 | 78 |
| -15 | 12 | 65 | 65 |
| -27 | 78 | 78 | 78 |
| -66 | 36 | 41 | 66 |
| -61 | 8 | 29 | 61 |
| -32 | 38 | 39 | 39 |
| -14 | 40 | 54 | 54 |
| -96 | -54 | 4 | 96 |
| -52 | 116 | 119 | 119 |
| -21 | 84 | 95 | 95 |
| -33 | -32 | 24 | 33 |
| 0 | 32 | 103 | 103 |
| -5 | 38 | 72 | 72 |
| -8 | 142 | 143 | 143 |
| -23 | 50 | 50 | 50 |
| -22 | 12 | 86 | 86 |
| -38 | -34 | 45 | 45 |
| -95 | -36 | 16 | 95 |
| -77 | -34 | 40 | 77 |
| -12 | 128 | 132 | 132 |
| -30 | 100 | 129 | 129 |
| -30 | -18 | 36 | 36 |
| -31 | -14 | 59 | 59 |
| -45 | -12 | 48 | 48 |
| -5 | 38 | 93 | 93 |
| -19 | 0 | 38 | 38 |
| -12 | 42 | 62 | 62 |
| -65 | -58 | 23 | 65 |
| -106 | -94 | 22 | 106 |
| -103 | 10 | 12 | 103 |
| -167 | -150 | 8 | 167 |
| -6 | 10 | 80 | 80 |
| -21 | 88 | 90 | 90 |
| -13 | 28 | 84 | 84 |
| -11 | 46 | 85 | 85 |
| -156 | -142 | 5 | 156 |
| -77 | -56 | 4 | 77 |
| -32 | 140 | 141 | 141 |
| -45 | 8 | 35 | 45 |
| -11 | 50 | 68 | 68 |
| -60 | 30 | 61 | 61 |
| -46 | -24 | 51 | 51 |
| -34 | 36 | 62 | 62 |
| -168 | -168 | 4 | 168 |
| -69 | -34 | 2 | 69 |
| -20 | 68 | 115 | 115 |
| -19 | 0 | 47 | 47 |
| -80 | -36 | 28 | 80 |
| -55 | -54 | 58 | 58 |
| -85 | -84 | 61 | 85 |
| -6 | 52 | 57 | 57 |
| -9 | -4 | 68 | 68 |
| -85 | -72 | 24 | 85 |
| -50 | -38 | 19 | 50 |
| -13 | 14 | 38 | 38 |
| -35 | 8 | 66 | 66 |
| -20 | 72 | 76 | 76 |
| -89 | -74 | 3 | 89 |
| -91 | -54 | 2 | 91 |
| -44 | 66 | 95 | 95 |
| -34 | -2 | 19 | 34 |
| -18 | 40 | 89 | 89 |
| -21 | 52 | 73 | 73 |
| -12 | 74 | 110 | 110 |
| -40 | 8 | 36 | 40 |
| -113 | -108 | 18 | 113 |
| -102 | -64 | 14 | 102 |
| -46 | -14 | 11 | 46 |
| -57 | 56 | 75 | 75 |
| -202 | -178 | 33 | 202 |
| -9 | 66 | 72 | 72 |
| -77 | -62 | 13 | 77 |
| -16 | 98 | 103 | 103 |
| -49 | -26 | 16 | 49 |
| -2 | 44 | 100 | 100 |
| -52 | 62 | 82 | 82 |
| -5 | 50 | 79 | 79 |
| -22 | 92 | 92 | 92 |
| -49 | -28 | 27 | 49 |
| -59 | -54 | 31 | 59 |
| -55 | -16 | 12 | 55 |
| -10 | 14 | 40 | 40 |
| -29 | 2 | 47 | 47 |
| -32 | -22 | 55 | 55 |
| -63 | 32 | 63 | 63 |
| -42 | 6 | 29 | 42 |
| -31 | 56 | 62 | 62 |
| -5 | 20 | 77 | 77 |
| -25 | 44 | 54 | 54 |
| -40 | 26 | 51 | 51 |
| -97 | -80 | 12 | 97 |
| -16 | 4 | 50 | 50 |
| -20 | 90 | 101 | 101 |
| -2 | 32 | 84 | 84 |
| -70 | -46 | 5 | 70 |
| -16 | 56 | 60 | 60 |
| -90 | -54 | 26 | 90 |
| -25 | 38 | 55 | 55 |
| -80 | -62 | 13 | 80 |
| -92 | -20 | 5 | 92 |
| -55 | 26 | 47 | 55 |
| -54 | -40 | 23 | 54 |
| -35 | 20 | 41 | 41 |
| -30 | -30 | 89 | 89 |
| -21 | -18 | 75 | 75 |
| -20 | 138 | 148 | 148 |
| -65 | -62 | 27 | 65 |
| -29 | 58 | 86 | 86 |
| -37 | 64 | 75 | 75 |
| -19 | -2 | 61 | 61 |
| -23 | -12 | 57 | 57 |
| -6 | 84 | 84 | 84 |
| -19 | 32 | 76 | 76 |
| -72 | -28 | 4 | 72 |
| -165 | -124 | 29 | 165 |
| -22 | 34 | 55 | 55 |
| -56 | 2 | 15 | 56 |
| -12 | 34 | 102 | 102 |
| -25 | 2 | 45 | 45 |
| -11 | 106 | 132 | 132 |
| -24 | 68 | 117 | 117 |
| -5 | 38 | 93 | 93 |
| -48 | -2 | 16 | 48 |
| -9 | 58 | 100 | 100 |
| -34 | 20 | 40 | 40 |
| -45 | -10 | 20 | 45 |
| -74 | -46 | 7 | 74 |
| -82 | -30 | 16 | 82 |
| -42 | 20 | 40 | 42 |
| -117 | -82 | 8 | 117 |
| -46 | 12 | 30 | 46 |
| -5 | 64 | 93 | 93 |
| -129 | -122 | 5 | 129 |
| -48 | -20 | 34 | 48 |
| -22 | 98 | 112 | 112 |
| -14 | 16 | 62 | 62 |
| -70 | -30 | 6 | 70 |
| -16 | 48 | 65 | 65 |
| -22 | -6 | 45 | 45 |
| -41 | -32 | 59 | 59 |
| -8 | 54 | 65 | 65 |
| -47 | 16 | 25 | 47 |
| -59 | -56 | 26 | 59 |
| -47 | -22 | 60 | 60 |
| -61 | 88 | 97 | 97 |
| -72 | 38 | 44 | 72 |
| -149 | -106 | 35 | 149 |
| -13 | 64 | 72 | 72 |
| -98 | -86 | 20 | 98 |
| -28 | 42 | 57 | 57 |
| -9 | 68 | 72 | 72 |
| -65 | 176 | 184 | 184 |
| -76 | -12 | 22 | 76 |
| -81 | -66 | 38 | 81 |
| -79 | 30 | 49 | 79 |
| -5 | 42 | 89 | 89 |
| -120 | -112 | 20 | 120 |
| -63 | -48 | 20 | 63 |
| -42 | -8 | 44 | 44 |
| -33 | 32 | 39 | 39 |
| -29 | 80 | 84 | 84 |
| -71 | -22 | 5 | 71 |
| -37 | 54 | 58 | 58 |
| -29 | -24 | 37 | 37 |
| -41 | 30 | 63 | 63 |
| -5 | 120 | 138 | 138 |
| -83 | -82 | 50 | 83 |
| -88 | -72 | 20 | 88 |
| -12 | 54 | 89 | 89 |
| -78 | -56 | 1 | 78 |
| -26 | 70 | 71 | 71 |
| -8 | 68 | 98 | 98 |
| -69 | -8 | 30 | 69 |
| -60 | -12 | 23 | 60 |
| -8 | 24 | 73 | 73 |
| -38 | -32 | 58 | 58 |
| -92 | -68 | -1 | 92 |
| -44 | -38 | 59 | 59 |
| -94 | -54 | 48 | 94 |
| -105 | -86 | 24 | 105 |
| -52 | 66 | 70 | 70 |
| -30 | 0 | 41 | 41 |
| -35 | -8 | 29 | 35 |
| -2 | 152 | 164 | 164 |
| -111 | -58 | 1 | 111 |
| -68 | -18 | 30 | 68 |
| -91 | -90 | 15 | 91 |
| -18 | 32 | 55 | 55 |
| -31 | -18 | 44 | 44 |
| -53 | 0 | 29 | 53 |
| -67 | -50 | 1 | 67 |
| -27 | 6 | 80 | 80 |
| -15 | 22 | 54 | 54 |
| -58 | -26 | 8 | 58 |
| -37 | 142 | 147 | 147 |
| -115 | -104 | 19 | 115 |
| -49 | -42 | 52 | 52 |
| -38 | -32 | 19 | 38 |
| -3 | 128 | 154 | 154 |
| -36 | 46 | 77 | 77 |
| -17 | 110 | 112 | 112 |
| -42 | 20 | 49 | 49 |
| -105 | -88 | 6 | 105 |
| -84 | -60 | 27 | 84 |
| -42 | -12 | 69 | 69 |
| -3 | 160 | 171 | 171 |
| -32 | -14 | 18 | 32 |
| -84 | -68 | 5 | 84 |
| -20 | 130 | 135 | 135 |
| -37 | 30 | 46 | 46 |
| -28 | -8 | 65 | 65 |
| -58 | -34 | 57 | 58 |
| -22 | 14 | 51 | 51 |
| -100 | -30 | 9 | 100 |
| -19 | 58 | 91 | 91 |
| -61 | 32 | 51 | 61 |
| -112 | -112 | 7 | 112 |
| -104 | 40 | 48 | 104 |
| -134 | -98 | 4 | 134 |
| -41 | -34 | 63 | 63 |
| -124 | -94 | 9 | 124 |
| -14 | 30 | 68 | 68 |
| -4 | 58 | 73 | 73 |
| -18 | 30 | 119 | 119 |
| -100 | -74 | 4 | 100 |
| -13 | 74 | 74 | 74 |
| -109 | -78 | 3 | 109 |
| -24 | 14 | 38 | 38 |
| -6 | 28 | 61 | 61 |
| -9 | 72 | 106 | 106 |
| -3 | 40 | 61 | 61 |
| -6 | 50 | 63 | 63 |
| -40 | 10 | 33 | 40 |
| -23 | 58 | 85 | 85 |
| -101 | -80 | 11 | 101 |
| -41 | -34 | 16 | 41 |
| -29 | 60 | 67 | 67 |
| -31 | 12 | 45 | 45 |
| -40 | -16 | 25 | 40 |
| -42 | -38 | 31 | 42 |
| -27 | -4 | 65 | 65 |
| -108 | -76 | 3 | 108 |
| -66 | -48 | 1 | 66 |
| -127 | -62 | 16 | 127 |
| -54 | -34 | 17 | 54 |
| -28 | -2 | 25 | 28 |
| -28 | 42 | 45 | 45 |
| -67 | -40 | 2 | 67 |
| -61 | 32 | 41 | 61 |
| -42 | 48 | 62 | 62 |
| -21 | -18 | 72 | 72 |
| -27 | 4 | 49 | 49 |
| -48 | -18 | 44 | 48 |
| -81 | -52 | 51 | 81 |
| -110 | -52 | 6 | 110 |
| -101 | -86 | 25 | 101 |
| -6 | 84 | 101 | 101 |
| -99 | -94 | 2 | 99 |
| -84 | -76 | 1 | 84 |
| -55 | 12 | 21 | 55 |
| -75 | 20 | 27 | 75 |
| -15 | 20 | 91 | 91 |
| -51 | -40 | 60 | 60 |
| -22 | 80 | 88 | 88 |
| -21 | 48 | 76 | 76 |
| -51 | -2 | 64 | 64 |
| -177 | -126 | 1 | 177 |
| -52 | 2 | 24 | 52 |
| -52 | 10 | 25 | 52 |
| -28 | 20 | 102 | 102 |
| -57 | -46 | 65 | 65 |
| -92 | -80 | 40 | 92 |
| -141 | -128 | 9 | 141 |
| -32 | -18 | 43 | 43 |
| -22 | -6 | 43 | 43 |
| -10 | 34 | 86 | 86 |
| -89 | -20 | 2 | 89 |
| -59 | -50 | 29 | 59 |
| -57 | -4 | 28 | 57 |
| -40 | -10 | 15 | 40 |
| -6 | 36 | 62 | 62 |
| -97 | -44 | 23 | 97 |
| -41 | -32 | 37 | 41 |
| -76 | -76 | 18 | 76 |
| -18 | -10 | 63 | 63 |
| -1 | 52 | 79 | 79 |
| -34 | 18 | 30 | 34 |
| -36 | -34 | 44 | 44 |
| -25 | -10 | 47 | 47 |
| -58 | -26 | 15 | 58 |
| -21 | 40 | 64 | 64 |
| -46 | -36 | 28 | 46 |
| -33 | -28 | 43 | 43 |
| -39 | -36 | 22 | 39 |
| -10 | 14 | 77 | 77 |
| -74 | 20 | 63 | 74 |
| -58 | 4 | 44 | 58 |
| -97 | -84 | 15 | 97 |
| -122 | -78 | 2 | 122 |
| -25 | 16 | 57 | 57 |
| -102 | -96 | 34 | 102 |
| -59 | 18 | 37 | 59 |
| -73 | -72 | 19 | 73 |
| -15 | 40 | 47 | 47 |
| -67 | 4 | 27 | 67 |
| -101 | 16 | 19 | 101 |
| -69 | -10 | 14 | 69 |
| -78 | -14 | 2 | 78 |
| -54 | -24 | 18 | 54 |
| -51 | -18 | 9 | 51 |
| -34 | 40 | 41 | 41 |
| -59 | -30 | 16 | 59 |
| -22 | 0 | 41 | 41 |
| -93 | -72 | 2 | 93 |
| -43 | 84 | 84 | 84 |
| -32 | 98 | 117 | 117 |
| -33 | 8 | 61 | 61 |
| -74 | -66 | 49 | 74 |
| -58 | 2 | 22 | 58 |
| -47 | 16 | 37 | 47 |
| -50 | 114 | 135 | 135 |
| -2 | 36 | 54 | 54 |
| -2 | 78 | 115 | 115 |
| -5 | 172 | 179 | 179 |
| -12 | 108 | 135 | 135 |
| -24 | 102 | 124 | 124 |
| -57 | 4 | 17 | 57 |
| -17 | 110 | 118 | 118 |
| -16 | 66 | 79 | 79 |
| -48 | 72 | 98 | 98 |
| -71 | -10 | 11 | 71 |
| -53 | -46 | 32 | 53 |
| -71 | -8 | 28 | 71 |
| -136 | -114 | 5 | 136 |
| -61 | -16 | 26 | 61 |
| -46 | 22 | 39 | 46 |
| -44 | -32 | 13 | 44 |
| -1 | 36 | 63 | 63 |
| -88 | -44 | 19 | 88 |
| -44 | -34 | 42 | 44 |
| -59 | -40 | 4 | 59 |
| -68 | -42 | 18 | 68 |
| -23 | 76 | 76 | 76 |
| -25 | 32 | 40 | 40 |
| -79 | -50 | 9 | 79 |
| -90 | -28 | 24 | 90 |
| -149 | -108 | 14 | 149 |
| -6 | 52 | 90 | 90 |
| -38 | 16 | 46 | 46 |
| -5 | 32 | 48 | 48 |
| -23 | 40 | 48 | 48 |
| -34 | -8 | 24 | 34 |
| -10 | 74 | 99 | 99 |
| -6 | 106 | 121 | 121 |
| -124 | -96 | 3 | 124 |
| -56 | -18 | 21 | 56 |
| -67 | 6 | 24 | 67 |
| -40 | -18 | 64 | 64 |
| -8 | 66 | 124 | 124 |
| -36 | 16 | 29 | 36 |
| -77 | 26 | 41 | 77 |
| -133 | -56 | 1 | 133 |
| -74 | -54 | 36 | 74 |
| -58 | -52 | 31 | 58 |
| -30 | 34 | 42 | 42 |
| -25 | 42 | 55 | 55 |
| -86 | -32 | 11 | 86 |
| -32 | 16 | 90 | 90 |
| -19 | 76 | 90 | 90 |
| -4 | 210 | 213 | 213 |
| -103 | -92 | 19 | 103 |
| -36 | -28 | 67 | 67 |
| -84 | -78 | 1 | 84 |
| -63 | 36 | 44 | 63 |
| -13 | 114 | 124 | 124 |
| -10 | 62 | 106 | 106 |
| -46 | -12 | 49 | 49 |
| -116 | -74 | 30 | 116 |
| -22 | -6 | 89 | 89 |
| -25 | 34 | 47 | 47 |
| -14 | 32 | 35 | 35 |
| -68 | -26 | 40 | 68 |
| -20 | 8 | 66 | 66 |
| -24 | 90 | 107 | 107 |
| -120 | -112 | 5 | 120 |
| -93 | -90 | 10 | 93 |
| -82 | -30 | 50 | 82 |
| -6 | 60 | 64 | 64 |
| -5 | 68 | 94 | 94 |
| -92 | -66 | 27 | 92 |
| -42 | -24 | 38 | 42 |
| -2 | 46 | 86 | 86 |
| -88 | -56 | 8 | 88 |
| 1 | 52 | 85 | 85 |
| -148 | -80 | 6 | 148 |
| -31 | 2 | 67 | 67 |
| -34 | 6 | 33 | 34 |
| -14 | 112 | 119 | 119 |
| -14 | 56 | 71 | 71 |
| -72 | -56 | 28 | 72 |
| -43 | 6 | 9 | 43 |
| -101 | -44 | 4 | 101 |
| -127 | -80 | -1 | 127 |
| -88 | -58 | 21 | 88 |
| -25 | 84 | 91 | 91 |
| -59 | -46 | 26 | 59 |
| -52 | 42 | 46 | 52 |
| -62 | 14 | 23 | 62 |
| -64 | -36 | 2 | 64 |
| -27 | -12 | 51 | 51 |
